Well	Cycle	BLUE	GREEN	YELLOW	RED
E8	5	-4297	-3501	-2746	-2820
E9	5	-4353	-3449	-2586	-2582
E10	5	-2942	-2562	-1900	-1993
E11	5	-3618	-3089	-2424	-2658
E12	5	-4633	-3695	-2878	-3013
F1	5	-3284	-2521	917	-292
F2	5	-5148	-3730	3424	916
F3	5	-4863	-3792	-382	-1372
F4	5	-1596	-1269	-587	838
F5	5	-5315	-4065	-1415	-2122
F6	5	-4799	-3578	1235	-259
F7	5	-5038	-3871	-1031	-1825
F8	5	449	-195	17	-155
F9	5	-4186	-3459	-2675	-2708
F10	5	-2606	-2334	-1719	-1760
F11	5	-4430	-3540	-2680	-2719
F12	5	-1844	-1769	-1386	-1565
G1	5	-4028	-3234	-993	-1643
G2	5	-4334	-3373	-395	-1450
G3	5	-4290	-3413	-760	-1414
G4	5	-5426	-4273	-3312	-3403
G5	5	-4632	-3576	-1100	-1720
G6	5	-4328	-3306	155	-845
G7	5	-4570	-3573	-1011	-1692
G8	5	-4998	-3994	-3171	-3275
G9	5	-6065	-4599	-3517	-3594
G10	5	-5000	-3858	-2951	-3031
G11	5	-5299	-4062	-3142	-3190
G12	5	-4694	-3731	-2915	-3008
H1	5	-2724	-2241	-1672	-1950
H2	5	-1389	-1337	-985	-1252
H3	5	-5275	-4086	-3168	-3179
H4	5	-4937	-3990	-3099	-3242
H5	5	4290	2825	2443	2094
H6	5	-3819	-3195	-2407	-2535
H7	5	-5115	-4028	-2991	-3075
H8	5	-4806	-3848	-2955	-2916
H9	5	-4346	-3520	-2703	-2789
H10	5	-4217	-3379	-2575	-2639
H11	5	-4800	-3814	-2985	-2755
H12	5	-2861	-2291	2042	661
A1	6	-4469	-3546	-1218	-1879
A2	6	-4721	-3620	-990	-1751
A3	6	-4362	-3429	-1233	-1656
A4	6	-5589	-4353	-3397	-3540
A5	6	-4768	-3740	-1190	-1908
A6	6	-4360	-3444	-797	-1444
A7	6	-3988	-3305	-872	-1393
A8	6	-3667	-3120	-2441	-2630
A9	6	-5461	-4163	-3189	-3150
A10	6	-5948	-4573	-3409	-3441
A11	6	-5255	-4101	-3249	-3300
A12	6	-5546	-4238	-3258	-3355
B1	6	-5369	-4129	-1471	-2229
B2	6	-6189	-4388	2081	31
B3	6	-5446	-4103	-1186	-1911
B4	6	-5285	-4063	-3008	-3013
B5	6	-5428	-4156	-703	-1667
B6	6	-4931	-3729	3019	685
B7	6	-4622	-3507	-534	-1345
B8	6	-5451	-4335	-3342	-3473
B9	6	-4589	-3677	-2787	-2873
B10	6	-3709	-3102	-2303	-2413
B11	6	-3486	-3075	-2512	-2814
B12	6	-4667	-3809	-2893	-2803
C1	6	-4606	-3602	-1284	-1942
C2	6	-5066	-3798	42	-1193
C3	6	-4278	-3357	-922	-1549
C4	6	-5476	-4294	-3394	-3503
C5	6	-4147	-3242	-811	-1289
C6	6	-5609	-4318	-1748	-2473
C7	6	-5417	-4105	-1392	-2071
C8	6	-4880	-3968	-3111	-3294
C9	6	-4985	-3888	-2948	-2968
C10	6	-5238	-4118	-3159	-3277
C11	6	-4821	-3794	-2964	-2965
C12	6	-4073	-3362	-2659	-2725
D1	6	-4996	-3940	-2987	-3164
D2	6	-4281	-3431	-2396	-2556
D3	6	-5148	-4073	-3144	-3301
D4	6	-4269	-3514	-2761	-2925
D5	6	-4894	-3914	-3110	-3224
D6	6	-5269	-4129	-3231	-3419
D7	6	-4021	-3228	-2270	-2364
D8	6	951	-245	-484	-1073
D9	6	-4641	-3693	-2841	-2929
D10	6	-4562	-3686	-2819	-2920
D11	6	-4654	-3721	-2843	-2913
D12	6	-3798	-3169	-2478	-2555
E1	6	-4665	-3616	-1150	-1853
E2	6	-5011	-3906	-1179	-2018
E3	6	-4519	-3535	-1006	-1659
E4	6	-5074	-4015	-3117	-3198
E5	6	-2559	-2381	-54	-827
E6	6	-4395	-3388	-493	-1277
E7	6	-4833	-3721	-1199	-1865
E8	6	-4290	-3531	-2739	-2842
E9	6	-4413	-3475	-2566	-2598
E10	6	-2944	-2531	-1902	-1986
E11	6	-3599	-3063	-2461	-2665
E12	6	-4608	-3705	-2881	-2950
F1	6	-3283	-2498	968	-200
F2	6	-5191	-3756	3389	923
F3	6	-4884	-3780	-367	-1393
F4	6	-1562	-1283	-578	827
F5	6	-5315	-4096	-1411	-2151
F6	6	-4825	-3621	1245	-289
F7	6	-5018	-3863	-1023	-1855
F8	6	469	-197	46	-142
F9	6	-4204	-3453	-2623	-2735
F10	6	-2614	-2358	-1757	-1748
F11	6	-4374	-3493	-2677	-2734
F12	6	-1844	-1798	-1371	-1544
G1	6	-4010	-3279	-993	-1644
G2	6	-4299	-3364	-356	-1471
G3	6	-4254	-3390	-720	-1385
G4	6	-5464	-4278	-3315	-3394
G5	6	-4641	-3575	-1068	-1712
G6	6	-4349	-3372	153	-861
G7	6	-4595	-3573	-1022	-1692
G8	6	-5003	-3944	-3149	-3284
G9	6	-6051	-4635	-3520	-3562
G10	6	-4944	-3840	-2945	-3007
G11	6	-5299	-4073	-3162	-3208
G12	6	-4745	-3751	-2917	-3005
H1	6	-2766	-2215	-1679	-1958
H2	6	-1386	-1366	-963	-1225
H3	6	-5279	-4081	-3123	-3177
H4	6	-4932	-3953	-3099	-3233
H5	6	4278	2763	2439	2038
H6	6	-3814	-3183	-2437	-2518
H7	6	-5164	-4024	-2999	-3047
H8	6	-4805	-3822	-2966	-2893
H9	6	-4345	-3476	-2708	-2802
H10	6	-4169	-3408	-2577	-2624
H11	6	-4760	-3805	-2951	-2752
H12	6	-2825	-2245	2104	708
A1	7	-4467	-3505	-1175	-1901
A2	7	-4710	-3613	-981	-1687
A3	7	-4328	-3424	-1245	-1643
A4	7	-5582	-4353	-3362	-3510
A5	7	-4713	-3706	-1239	-1882
A6	7	-4317	-3441	-753	-1403
A7	7	-4003	-3268	-878	-1345
A8	7	-3596	-3117	-2468	-2632
A9	7	-5454	-4203	-3157	-3163
A10	7	-5947	-4592	-3378	-3473
A11	7	-5230	-4132	-3218	-3322
A12	7	-5515	-4254	-3253	-3371
B1	7	-5398	-4164	-1484	-2229
B2	7	-6210	-4391	2125	63
B3	7	-5481	-4103	-1167	-1920
B4	7	-5250	-3996	-2988	-3039
B5	7	-5413	-4136	-743	-1653
B6	7	-4906	-3693	3045	679
B7	7	-4627	-3490	-499	-1342
B8	7	-5436	-4302	-3369	-3455
B9	7	-4592	-3709	-2820	-2880
B10	7	-3706	-3064	-2314	-2422
B11	7	-3494	-3067	-2567	-2771
B12	7	-4681	-3836	-2883	-2782
C1	7	-4582	-3575	-1233	-1925
C2	7	-5088	-3785	34	-1146
C3	7	-4313	-3383	-971	-1610
C4	7	-5465	-4323	-3419	-3525
C5	7	-4165	-3210	-824	-1277
C6	7	-5648	-4292	-1724	-2482
C7	7	-5417	-4065	-1360	-2067
C8	7	-4882	-3943	-3158	-3300
C9	7	-4955	-3880	-2914	-2951
C10	7	-5209	-4090	-3166	-3271
C11	7	-4799	-3788	-2947	-2963
C12	7	-4061	-3376	-2647	-2718
D1	7	-4962	-3939	-2947	-3147
D2	7	-4247	-3405	-2395	-2549
D3	7	-5150	-4063	-3196	-3255
D4	7	-4260	-3516	-2746	-2899
D5	7	-4914	-3929	-3073	-3232
D6	7	-5191	-4144	-3274	-3395
D7	7	-3967	-3187	-2248	-2338
D8	7	955	-278	-494	-1077
D9	7	-4627	-3660	-2810	-2914
D10	7	-4548	-3677	-2853	-2927
D11	7	-4710	-3687	-2840	-2926
D12	7	-3760	-3093	-2427	-2539
E1	7	-4656	-3640	-1097	-1860
E2	7	-5064	-3901	-1217	-2043
E3	7	-4497	-3471	-920	-1662
E4	7	-5084	-4030	-3088	-3222
E5	7	-2610	-2398	-79	-835
E6	7	-4361	-3383	-513	-1267
E7	7	-4849	-3739	-1158	-1836
E8	7	-4293	-3558	-2749	-2844
E9	7	-4356	-3417	-2548	-2587
E10	7	-2888	-2520	-1847	-1974
E11	7	-3587	-3057	-2441	-2675
E12	7	-4628	-3707	-2873	-2962
F1	7	-3272	-2478	1043	-156
F2	7	-5202	-3742	3444	920
F3	7	-4834	-3768	-287	-1304
F4	7	-1595	-1297	-591	845
F5	7	-5304	-4082	-1425	-2136
F6	7	-4794	-3602	1282	-226
F7	7	-5010	-3866	-994	-1839
F8	7	473	-161	63	-147
F9	7	-4262	-3472	-2655	-2734
F10	7	-2584	-2301	-1707	-1698
F11	7	-4345	-3538	-2691	-2748
F12	7	-1842	-1735	-1388	-1550
G1	7	-4038	-3260	-995	-1679
G2	7	-4367	-3358	-358	-1468
G3	7	-4369	-3440	-798	-1451
G4	7	-5466	-4291	-3314	-3382
G5	7	-4612	-3561	-1043	-1697
G6	7	-4355	-3315	164	-832
G7	7	-4664	-3565	-1045	-1759
G8	7	-4961	-3995	-3112	-3276
G9	7	-6055	-4624	-3484	-3551
G10	7	-4954	-3877	-2903	-3041
G11	7	-5260	-4060	-3152	-3203
G12	7	-4739	-3742	-2907	-2995
H1	7	-2696	-2223	-1676	-1930
H2	7	-1349	-1360	-983	-1273
H3	7	-5246	-4040	-3097	-3138
H4	7	-4941	-3960	-3070	-3199
H5	7	4308	2829	2474	2087
H6	7	-3807	-3188	-2426	-2505
H7	7	-5132	-3943	-3005	-3073
H8	7	-4817	-3790	-2912	-2910
H9	7	-4328	-3445	-2644	-2760
H10	7	-4209	-3379	-2549	-2657
H11	7	-4777	-3816	-2962	-2775
H12	7	-2868	-2298	2102	706
A1	8	-4473	-3516	-1180	-1889
A2	8	-4705	-3647	-956	-1696
A3	8	-4368	-3422	-1230	-1634
A4	8	-5588	-4333	-3376	-3495
A5	8	-4736	-3712	-1264	-1886
A6	8	-4291	-3445	-757	-1394
A7	8	-3972	-3274	-861	-1322
A8	8	-3644	-3125	-2436	-2595
A9	8	-5389	-4205	-3123	-3128
