Well	Cycle	BLUE	GREEN	YELLOW	RED
A1	1	-4552	-3556	-1269	-1993
A2	1	-4639	-3522	-976	-1706
A3	1	-4439	-3480	-1305	-1753
A4	1	-5646	-4371	-3447	-3572
A5	1	-4722	-3737	-1234	-1886
A6	1	-4614	-3656	-1041	-1708
A7	1	-4085	-3337	-969	-1441
A8	1	-3682	-3153	-2503	-2670
A9	1	-5472	-4251	-3207	-3219
A10	1	-6036	-4614	-3416	-3506
A11	1	-5259	-4113	-3207	-3333
A12	1	-5492	-4268	-3260	-3353
B1	1	-5372	-4127	-1541	-2323
B2	1	-6216	-4435	1783	-139
B3	1	-5532	-4179	-1381	-2034
B4	1	-5273	-4094	-3038	-3066
B5	1	-5508	-4217	-984	-1839
B6	1	-4907	-3749	2888	618
B7	1	-4702	-3563	-662	-1489
B8	1	-5477	-4350	-3369	-3497
B9	1	-4654	-3779	-2826	-2917
B10	1	-3774	-3117	-2340	-2468
B11	1	-3477	-3146	-2545	-2812
B12	1	-4713	-3898	-2908	-2874
C1	1	-4520	-3588	-1280	-1934
C2	1	-5090	-3822	-109	-1270
C3	1	-4352	-3353	-1073	-1663
C4	1	-5505	-4357	-3449	-3533
C5	1	-4152	-3227	-870	-1348
C6	1	-5564	-4269	-1766	-2457
C7	1	-5421	-4102	-1514	-2156
C8	1	-4923	-4014	-3184	-3303
C9	1	-5047	-3944	-2948	-3041
C10	1	-5243	-4095	-3192	-3321
C11	1	-4848	-3827	-2980	-3036
C12	1	-4146	-3484	-2688	-2757
D1	1	-4923	-3914	-2937	-3157
D2	1	-4320	-3470	-2440	-2615
D3	1	-5199	-4129	-3232	-3346
D4	1	-4240	-3526	-2741	-2885
D5	1	-4917	-3983	-3124	-3234
D6	1	-5167	-4164	-3265	-3400
D7	1	-3950	-3229	-2269	-2348
D8	1	954	-269	-510	-1102
D9	1	-4698	-3730	-2887	-2971
D10	1	-4639	-3675	-2873	-2963
D11	1	-4721	-3755	-2893	-2982
D12	1	-3857	-3232	-2479	-2615
E1	1	-4686	-3649	-1208	-1910
E2	1	-4907	-3790	-1182	-1992
E3	1	-4566	-3522	-1028	-1722
E4	1	-5072	-4095	-3116	-3251
E5	1	-2398	-2294	-92	-844
E6	1	-4355	-3421	-604	-1347
E7	1	-4720	-3675	-1192	-1810
E8	1	-4273	-3551	-2739	-2863
E9	1	-4435	-3488	-2615	-2651
E10	1	-2968	-2578	-1907	-2035
E11	1	-3696	-3167	-2547	-2736
E12	1	-4720	-3748	-2938	-3064
F1	1	-3524	-2731	666	-522
F2	1	-5171	-3756	3262	792
F3	1	-4838	-3750	-474	-1430
F4	1	-1619	-1310	-611	870
F5	1	-5343	-4100	-1532	-2229
F6	1	-4825	-3681	1046	-398
F7	1	-5059	-3898	-1142	-1934
F8	1	451	-229	-17	-157
F9	1	-4259	-3455	-2660	-2781
F10	1	-2713	-2398	-1837	-1820
F11	1	-4471	-3575	-2715	-2809
F12	1	-1902	-1877	-1405	-1631
G1	1	-3967	-3230	-1021	-1673
G2	1	-4303	-3345	-379	-1410
G3	1	-4440	-3487	-927	-1501
G4	1	-5432	-4325	-3315	-3408
G5	1	-4604	-3600	-1173	-1765
G6	1	-4321	-3311	81	-856
G7	1	-4545	-3538	-1054	-1724
G8	1	-4967	-4015	-3168	-3342
G9	1	-6089	-4640	-3546	-3628
G10	1	-4968	-3877	-2957	-3056
G11	1	-5364	-4184	-3208	-3268
G12	1	-4753	-3752	-2934	-3021
H1	1	-2694	-2173	-1637	-1894
H2	1	-1455	-1459	-1045	-1286
H3	1	-5303	-4125	-3150	-3214
H4	1	-4973	-3999	-3128	-3281
H5	1	4366	2821	2470	2059
H6	1	-3813	-3187	-2440	-2560
H7	1	-5165	-4035	-2998	-3099
H8	1	-4869	-3879	-2945	-2939
H9	1	-4341	-3529	-2726	-2816
H10	1	-4198	-3411	-2627	-2659
H11	1	-4764	-3787	-2983	-2795
H12	1	-2837	-2282	2053	687
A1	2	-4530	-3593	-1283	-1968
A2	2	-4639	-3594	-965	-1749
A3	2	-4401	-3495	-1314	-1738
A4	2	-5609	-4339	-3398	-3566
A5	2	-4663	-3743	-1276	-1907
A6	2	-4503	-3573	-979	-1608
A7	2	-4027	-3356	-954	-1429
A8	2	-3627	-3139	-2459	-2690
A9	2	-5442	-4214	-3138	-3196
A10	2	-5973	-4611	-3430	-3499
A11	2	-5279	-4118	-3238	-3343
A12	2	-5495	-4244	-3260	-3347
B1	2	-5391	-4164	-1511	-2294
B2	2	-6190	-4382	1939	-49
B3	2	-5551	-4161	-1378	-2099
B4	2	-5331	-4075	-3027	-3089
B5	2	-5526	-4216	-941	-1807
B6	2	-4873	-3716	2915	639
B7	2	-4699	-3572	-658	-1462
B8	2	-5504	-4351	-3388	-3511
B9	2	-4619	-3737	-2817	-2878
B10	2	-3770	-3109	-2357	-2462
B11	2	-3466	-3094	-2556	-2814
B12	2	-4726	-3899	-2918	-2846
C1	2	-4570	-3583	-1323	-1999
C2	2	-5106	-3839	-85	-1278
C3	2	-4311	-3393	-1064	-1673
C4	2	-5521	-4386	-3467	-3607
C5	2	-4176	-3213	-871	-1342
C6	2	-5594	-4314	-1760	-2491
C7	2	-5432	-4127	-1468	-2148
C8	2	-4910	-4014	-3176	-3291
C9	2	-5006	-3919	-2977	-2959
C10	2	-5226	-4135	-3202	-3308
C11	2	-4837	-3812	-2993	-3010
C12	2	-4110	-3463	-2669	-2736
D1	2	-4980	-3946	-2944	-3143
D2	2	-4272	-3459	-2418	-2563
D3	2	-5225	-4124	-3211	-3303
D4	2	-4316	-3546	-2767	-2932
D5	2	-4912	-3968	-3141	-3239
D6	2	-5219	-4164	-3275	-3375
D7	2	-4019	-3239	-2257	-2362
D8	2	908	-270	-527	-1107
D9	2	-4626	-3742	-2868	-2950
D10	2	-4628	-3714	-2877	-2955
D11	2	-4724	-3754	-2889	-2949
D12	2	-3832	-3187	-2473	-2612
E1	2	-4718	-3680	-1222	-1911
E2	2	-4899	-3861	-1211	-2011
E3	2	-4483	-3471	-1001	-1661
E4	2	-5125	-4060	-3121	-3240
E5	2	-2427	-2266	-55	-790
E6	2	-4326	-3333	-576	-1273
E7	2	-4799	-3755	-1178	-1819
E8	2	-4320	-3565	-2742	-2892
E9	2	-4435	-3508	-2618	-2615
E10	2	-2963	-2561	-1928	-2011
E11	2	-3737	-3153	-2507	-2711
E12	2	-4644	-3743	-2913	-3037
F1	2	-3479	-2720	690	-479
F2	2	-5151	-3741	3321	874
F3	2	-4795	-3733	-407	-1399
F4	2	-1640	-1303	-653	769
F5	2	-5358	-4148	-1520	-2173
F6	2	-4767	-3620	1156	-312
F7	2	-5030	-3922	-1123	-1931
F8	2	464	-213	18	-152
F9	2	-4244	-3459	-2704	-2773
F10	2	-2631	-2445	-1764	-1805
F11	2	-4440	-3536	-2716	-2775
F12	2	-1898	-1795	-1427	-1571
G1	2	-3929	-3197	-995	-1673
G2	2	-4321	-3356	-379	-1426
G3	2	-4499	-3512	-979	-1576
G4	2	-5439	-4288	-3351	-3434
G5	2	-4600	-3579	-1133	-1729
G6	2	-4312	-3306	101	-870
G7	2	-4498	-3524	-1010	-1647
G8	2	-4982	-4021	-3168	-3330
G9	2	-6067	-4667	-3554	-3598
G10	2	-4973	-3904	-2937	-3045
G11	2	-5330	-4129	-3174	-3266
G12	2	-4741	-3763	-2953	-2994
H1	2	-2711	-2252	-1698	-1957
H2	2	-1424	-1404	-1028	-1275
H3	2	-5320	-4092	-3176	-3172
H4	2	-4932	-3991	-3128	-3234
H5	2	4268	2801	2436	2022
H6	2	-3812	-3213	-2443	-2546
H7	2	-5122	-4021	-2971	-3085
H8	2	-4845	-3851	-2938	-2940
H9	2	-4354	-3550	-2708	-2801
H10	2	-4206	-3361	-2601	-2653
H11	2	-4796	-3813	-2964	-2728
H12	2	-2834	-2274	2019	652
A1	3	-4495	-3547	-1274	-1956
A2	3	-4616	-3639	-971	-1727
A3	3	-4400	-3441	-1301	-1698
A4	3	-5643	-4314	-3403	-3529
A5	3	-4699	-3733	-1251	-1929
A6	3	-4403	-3487	-881	-1518
A7	3	-4076	-3340	-946	-1421
A8	3	-3647	-3120	-2498	-2634
A9	3	-5476	-4227	-3150	-3191
A10	3	-6009	-4590	-3384	-3456
A11	3	-5265	-4136	-3223	-3311
A12	3	-5504	-4275	-3285	-3334
B1	3	-5379	-4151	-1529	-2288
B2	3	-6195	-4394	2020	-26
B3	3	-5534	-4147	-1287	-1990
B4	3	-5281	-4049	-3012	-3061
B5	3	-5427	-4189	-853	-1740
B6	3	-4920	-3721	2958	618
B7	3	-4641	-3589	-606	-1453
B8	3	-5470	-4364	-3381	-3539
B9	3	-4628	-3740	-2822	-2851
B10	3	-3780	-3097	-2334	-2414
B11	3	-3494	-3080	-2558	-2822
B12	3	-4731	-3852	-2891	-2809
C1	3	-4624	-3616	-1339	-1956
C2	3	-5058	-3800	-38	-1162
C3	3	-4296	-3368	-1030	-1637
C4	3	-5554	-4323	-3421	-3569
C5	3	-4140	-3211	-859	-1303
C6	3	-5596	-4323	-1802	-2481
C7	3	-5397	-4087	-1438	-2108
C8	3	-4951	-4005	-3157	-3345
C9	3	-5052	-3910	-2959	-3025
C10	3	-5286	-4133	-3197	-3283
C11	3	-4866	-3818	-2971	-2994
C12	3	-4104	-3456	-2715	-2720
D1	3	-5007	-3967	-2968	-3141
D2	3	-4294	-3470	-2421	-2584
D3	3	-5156	-4073	-3194	-3294
D4	3	-4302	-3548	-2764	-2963
D5	3	-4950	-4009	-3123	-3253
D6	3	-5201	-4157	-3285	-3407
D7	3	-4040	-3188	-2306	-2357
D8	3	907	-316	-496	-1122
D9	3	-4670	-3772	-2887	-2972
D10	3	-4639	-3723	-2898	-2959
D11	3	-4762	-3742	-2912	-2950
D12	3	-3792	-3186	-2477	-2600
E1	3	-4615	-3594	-1150	-1881
E2	3	-4946	-3855	-1188	-2014
E3	3	-4505	-3468	-937	-1656
E4	3	-5068	-4061	-3087	-3259
E5	3	-2510	-2332	-99	-831
E6	3	-4351	-3389	-561	-1250
E7	3	-4793	-3707	-1206	-1851
E8	3	-4353	-3564	-2755	-2902
E9	3	-4411	-3492	-2591	-2640
E10	3	-2945	-2556	-1909	-1988
E11	3	-3641	-3116	-2493	-2724
E12	3	-4641	-3685	-2890	-3024
F1	3	-3460	-2635	758	-432
F2	3	-5156	-3727	3333	857
F3	3	-4754	-3740	-350	-1329
F4	3	-1612	-1288	-602	791
F5	3	-5343	-4132	-1451	-2191
F6	3	-4830	-3588	1210	-303
F7	3	-5016	-3876	-1058	-1873
F8	3	450	-229	19	-145
F9	3	-4227	-3459	-2677	-2738
F10	3	-2598	-2382	-1734	-1782
F11	3	-4417	-3542	-2687	-2759
F12	3	-1873	-1824	-1409	-1594
G1	3	-3975	-3212	-982	-1675
G2	3	-4311	-3366	-384	-1468
G3	3	-4454	-3492	-939	-1545
G4	3	-5445	-4275	-3328	-3424
G5	3	-4605	-3546	-1071	-1731
G6	3	-4297	-3304	121	-877
G7	3	-4565	-3565	-1047	-1739
G8	3	-4997	-4005	-3184	-3314
G9	3	-6089	-4643	-3533	-3608
G10	3	-5000	-3856	-2935	-3037
G11	3	-5318	-4115	-3176	-3200
G12	3	-4730	-3769	-2928	-2989
H1	3	-2759	-2236	-1700	-1988
H2	3	-1414	-1412	-1038	-1320
H3	3	-5303	-4115	-3140	-3171
H4	3	-4943	-4001	-3107	-3231
H5	3	4278	2755	2431	2029
H6	3	-3824	-3201	-2424	-2541
H7	3	-5150	-4021	-3034	-3079
H8	3	-4834	-3856	-2972	-2904
H9	3	-4403	-3523	-2684	-2820
H10	3	-4205	-3361	-2596	-2670
H11	3	-4797	-3860	-2944	-2749
H12	3	-2808	-2296	2071	670
A1	4	-4492	-3535	-1261	-1943
A2	4	-4650	-3570	-976	-1724
A3	4	-4374	-3446	-1264	-1730
A4	4	-5611	-4343	-3367	-3510
A5	4	-4698	-3713	-1249	-1903
A6	4	-4385	-3472	-800	-1447
A7	4	-4011	-3329	-941	-1409
A8	4	-3657	-3140	-2454	-2665
A9	4	-5445	-4224	-3186	-3195
A10	4	-5980	-4563	-3405	-3452
A11	4	-5295	-4110	-3240	-3288
A12	4	-5477	-4237	-3271	-3344
B1	4	-5378	-4151	-1490	-2267
B2	4	-6208	-4366	2023	-1
B3	4	-5485	-4111	-1215	-1932
B4	4	-5267	-4050	-3010	-3032
B5	4	-5421	-4150	-779	-1730
B6	4	-4902	-3735	2958	643
B7	4	-4675	-3545	-571	-1399
B8	4	-5461	-4316	-3386	-3477
B9	4	-4638	-3741	-2798	-2872
B10	4	-3785	-3101	-2338	-2443
B11	4	-3508	-3090	-2572	-2860
B12	4	-4683	-3841	-2925	-2789
C1	4	-4591	-3596	-1319	-1932
C2	4	-5030	-3780	56	-1146
C3	4	-4254	-3327	-956	-1632
C4	4	-5498	-4308	-3379	-3495
C5	4	-4154	-3219	-818	-1307
C6	4	-5602	-4319	-1801	-2496
C7	4	-5386	-4081	-1395	-2046
C8	4	-4923	-3967	-3155	-3305
C9	4	-5016	-3922	-2953	-2964
C10	4	-5242	-4088	-3180	-3314
C11	4	-4820	-3818	-2935	-3019
C12	4	-4119	-3404	-2691	-2712
D1	4	-5023	-3932	-2953	-3162
D2	4	-4259	-3447	-2440	-2556
D3	4	-5113	-4067	-3140	-3237
D4	4	-4266	-3549	-2748	-2928
D5	4	-4914	-3929	-3119	-3222
D6	4	-5213	-4192	-3248	-3404
D7	4	-4026	-3236	-2299	-2342
D8	4	891	-260	-499	-1108
D9	4	-4648	-3750	-2841	-2939
D10	4	-4605	-3658	-2847	-2939
D11	4	-4726	-3730	-2877	-2959
D12	4	-3759	-3178	-2488	-2593
E1	4	-4624	-3640	-1148	-1878
E2	4	-4982	-3839	-1180	-1985
E3	4	-4474	-3471	-908	-1643
E4	4	-5145	-4078	-3109	-3226
E5	4	-2520	-2324	-70	-802
E6	4	-4338	-3378	-507	-1267
E7	4	-4812	-3728	-1172	-1846
E8	4	-4307	-3549	-2777	-2887
E9	4	-4382	-3455	-2563	-2594
E10	4	-2926	-2545	-1875	-1992
E11	4	-3628	-3086	-2465	-2649
E12	4	-4610	-3712	-2937	-2990
F1	4	-3389	-2558	853	-338
F2	4	-5185	-3718	3399	916
F3	4	-4751	-3731	-386	-1349
F4	4	-1595	-1284	-568	804
F5	4	-5270	-4057	-1404	-2138
F6	4	-4799	-3611	1209	-281
F7	4	-4982	-3846	-1043	-1842
F8	4	433	-228	25	-154
F9	4	-4228	-3477	-2637	-2757
F10	4	-2605	-2314	-1731	-1744
F11	4	-4431	-3544	-2714	-2732
F12	4	-1876	-1781	-1425	-1562
G1	4	-3979	-3195	-947	-1667
G2	4	-4321	-3362	-376	-1423
G3	4	-4348	-3428	-833	-1444
G4	4	-5451	-4294	-3339	-3403
G5	4	-4631	-3590	-1074	-1731
G6	4	-4342	-3347	121	-840
G7	4	-4590	-3554	-1056	-1715
G8	4	-4992	-4026	-3148	-3315
G9	4	-6056	-4617	-3514	-3624
G10	4	-4969	-3886	-2955	-3043
G11	4	-5283	-4064	-3177	-3214
G12	4	-4756	-3728	-2880	-2963
H1	4	-2761	-2223	-1678	-1940
H2	4	-1430	-1366	-971	-1240
H3	4	-5261	-4101	-3130	-3182
H4	4	-4941	-3974	-3085	-3238
H5	4	4287	2795	2425	2039
H6	4	-3810	-3153	-2433	-2552
H7	4	-5117	-4024	-3003	-3063
H8	4	-4841	-3798	-2931	-2965
H9	4	-4335	-3506	-2688	-2821
H10	4	-4182	-3377	-2591	-2650
H11	4	-4823	-3805	-2958	-2746
H12	4	-2832	-2297	2014	694
A1	5	-4485	-3497	-1225	-1899
A2	5	-4698	-3579	-971	-1694
A3	5	-4393	-3415	-1238	-1662
A4	5	-5611	-4362	-3409	-3522
A5	5	-4721	-3702	-1215	-1892
A6	5	-4380	-3482	-781	-1459
A7	5	-3975	-3319	-897	-1354
A8	5	-3672	-3095	-2461	-2633
A9	5	-5392	-4156	-3183	-3160
A10	5	-5996	-4601	-3423	-3491
A11	5	-5234	-4102	-3233	-3309
A12	5	-5536	-4245	-3292	-3393
B1	5	-5372	-4143	-1477	-2233
B2	5	-6212	-4394	2103	51
B3	5	-5418	-4100	-1169	-1892
B4	5	-5316	-4071	-3030	-3016
B5	5	-5415	-4118	-756	-1643
B6	5	-4901	-3732	2997	670
B7	5	-4650	-3533	-544	-1375
B8	5	-5471	-4269	-3341	-3455
B9	5	-4628	-3734	-2775	-2889
B10	5	-3712	-3104	-2339	-2436
B11	5	-3488	-3110	-2529	-2794
B12	5	-4713	-3851	-2888	-2796
C1	5	-4607	-3585	-1301	-1932
C2	5	-5090	-3745	9	-1149
C3	5	-4280	-3333	-953	-1580
C4	5	-5522	-4332	-3408	-3502
C5	5	-4155	-3224	-813	-1273
C6	5	-5588	-4285	-1777	-2466
C7	5	-5385	-4091	-1405	-2049
C8	5	-4919	-3949	-3144	-3299
C9	5	-4968	-3858	-2946	-2984
C10	5	-5220	-4082	-3188	-3313
C11	5	-4803	-3775	-2965	-2972
C12	5	-4101	-3394	-2673	-2705
D1	5	-5003	-3923	-2965	-3181
D2	5	-4234	-3444	-2437	-2565
D3	5	-5152	-4038	-3168	-3257
D4	5	-4286	-3541	-2751	-2882
D5	5	-4901	-3978	-3070	-3209
D6	5	-5223	-4140	-3247	-3359
D7	5	-4012	-3230	-2282	-2330
D8	5	954	-259	-504	-1061
D9	5	-4628	-3719	-2831	-2942
D10	5	-4566	-3673	-2828	-2953
D11	5	-4687	-3714	-2853	-2916
D12	5	-3828	-3154	-2439	-2568
E1	5	-4652	-3632	-1147	-1823
E2	5	-4990	-3844	-1213	-1994
E3	5	-4530	-3450	-967	-1637
E4	5	-5120	-4032	-3131	-3226
E5	5	-2558	-2366	-52	-806
E6	5	-4345	-3360	-519	-1294
E7	5	-4808	-3723	-1203	-1849
